canonical_form,graph_id
apelativo,A201
apelatório,A201
apelidado,A201
apelintrado,A201
apelável,A308
apenado,A201
apendiculado,A201
apenso,A201
apenável,A308
apercebido,A201
aperceptível,A308
aperfeiçoável,A308
aperiantado,A201
aperibense,A301
aperispérmico,A201
aperitiva,A101
aperitivo,A001
aperiódico,A201
aperreado,A201
apertado,A201D081S03
apertador,A218
apessoado,A201
apetalado,A201
apetalifloro,A201
apetecedor,A218
apetecível,A308
apetitivo,A201
apetitoso,A201
apiaiense,A301
apical,A308
apicifixo,A201
apicifloro,A201
apiculado,A201
apiedado,A201
apinhado,A201
apitador,A218
apiário,A201
aplacável,A308
aplaudido,A201S03
aplaudível,A308
aplausível,A308
aplicado,A201S03
aplicador,A218
aplicável,A308
apocalíptico,A201
apocináceo,A201
apocromático,A201
apocárpico,A201
apoderado,A201
apodiense,A301
apodrecido,A201
apoiado,A201
apoiador,A218
apolar,A303
apologético,A201
apolíneo,A201
apolítico,A201
aponogetonáceo,A201
apontado,A201
apontável,A308
apopléctico,A201
apopétalo,A201
apoquentado,A201
apoquentador,A218
aportuguesável,A308
aposentado,A201
apositivo,A201
apossado,A201
apostado,A201
apostemático,A201
aposto,A201
apostolar,A303
apostólico,A201
apotecial,A308
apoteótico,A201
aprazado,A201
aprazivelense,A301
aprazível,A308
apreciado,A201S03
apreciador,A218
apreciativo,A201
apreciável,A308
apreensivo,A201
apreensor,A218
apreensível,A308
apreensório,A201
apregoador,A218
apresador,A218
apresentado,A201
apresentador,A218
apresentável,A308
apressado,A201D081
apreçável,A308
aprimorado,A201
aprisionador,A218
aprobativo,A201
aprobatório,A201
aprofundável,A308
apropriado,A201
aprovado,A201
aprovador,A218
aprovativo,A201
aproveitado,A201
aproveitador,A218
aproveitável,A308
aprovisionador,A218
aprovável,A308
aproximado,A201
aproximativo,A201
aprumado,A201
apto,A201
apucaranense,A301
apunhalado,A201
apupado,A201
apurado,A201S03
apurador,A218
apurativo,A201
apurável,A308
apático,A201
apétalo,A201
apícola,A301
apócrifo,A201
apóstata,A301
aquartelado,A201
aquecedor,A218
aquecido,A201
aquecível,A308
aquense,A301
aqueu,A211
aquidabãense,A301
aquidauanense,A301
aquiescente,A301
aquilino,A201
aquilombado,A201
aquinense,A301
aquiritivo,A201
aquisitivo,A201
aquoso,A201
aquário,A201
aquático,A201
aquênico,A201
aqüifoliáceo,A201
aqüífero,A201
aracajuano,A201
aracajuense,A301
aracatiense,A301
aracnídeo,A201
aracnóide,A301
aracruzense,A301
arado,A201
aragarcense,A301
araguacemense,A301
araguatinense,A301
araiosense,A301
araliáceo,A201
aramado,A201
aramaico,A201
aramável,A308
araneídeo,A201
aranhoso,A201
arapiraquense,A301
araponguense,A301
arapotiense,A301
araquariense,A301
araranguaense,A301
araraquarense,A301
ararense,A301
arariense,A301
araripense,A301
araripinense,A301
araruamense,A301
ararunense,A301
araruvense,A301
aratibense,A301
araticuense,A301
aratubense,A301
aratuipense,A301
araucariáceo,A201
arauense,A301
araujense,A301
araxense,A301
araçatubense,A301
araçá,A301
arbitrador,A218
arbitral,A308
arbitrativo,A201
arbitrário,A201
arborescente,A301
arborizado,A201
arborícola,A301
arbustivo,A201
arbóreo,A201
arcado,A201
arcaico,A201
arcaizante,A301
arcano,A201
arceburgense,A301
arcoverdense,A301
arcuense,A301
arcádico,A201
ardenense,A301
ardente,A301
ardeídeo,A201
ardido,A201
ardiloso,A201
ardoroso,A201
areadense,A301
arealense,A301
arealvense,A301
areense,A301
areento,A201
areia,A306
arengueiro,A201
arenista,A301
arenoso,A201
areolado,A201
areolar,A303
aresense,A301
arfante,A301
argeliano,A201
argelino,A201
argentifoliado,A201
argentifólio,A201
argentino,A201
argiloso,A201
argiláceo,A201
argucioso,A201
argumentador,A218
argumental,A308
argumentativo,A201
argumentável,A308
arguto,A201
argênteo,A201
argüente,A301
argüido,A201
argüível,A308
ariano,A201
arilado,A201
arilóide,A301
aripuanense,A301
ariranhense,A301
arisco,A201
aristocrata,A301
aristocratizante,A301
aristocrático,A201
aristoloquiáceo,A201
aristotélico,A201
aritmético,A201
armado,A201S03
armamentista,A301
armazenável,A308
armilar,A303
armênio,A201
aroeirense,A301
aromal,A308
aromatizante,A301
aromático,A201
arquejante,A301
arquejável,A308
arqueológico,A201
arqueável,A308
arquiclamídeo,A201
arquidiocesano,A201
arquiepiscopal,A308
arquimilionário,A201
arquitetado,A201
arquitetural,A308
arquitetônico,A201
arraialense,A301
arraigado,A201
arrancado,A201
arrancável,A308
arranhado,A201
arranjador,A218
arrasado,A201
arrasador,A218
arrastadiço,A201
arrastado,A201
arrazoado,A201
arreado,A201
arrebatado,A201
arrebatador,A218
arrebentadiço,A201
arrecadador,A218
arrecadável,A308
arrecto,A201
arredado,A201
arredio,A201
arredor,A303
